Name,Lat,Long,Lat/Long,Price
NORTH VILLAGE DELI EMPORIUM 74 8 AVENUE New York NY 10011,40.7464969,-74.0094471,"{lng=-74.0094471, lat=40.7464969}",$3.25 
COLOMBUS AVE DELI & COFE 556 COLUMBUS AVENUE New York NY 10024,40.7871628,-73.9719684,"{lng=-73.9719684, lat=40.7871628}",$5.00 
TAZA CAFE AND DELI 350 PARK AVENUE SOUTH New York NY 10010,40.74182,-73.985529,"{lng=-73.985529, lat=40.74182}",$6.00 
PANADERIA LA MIXTECA POBLANA & DELI 104 VICTORY BOULEVARD New York NY 10301,40.637517,-74.0798,"{lng=-74.07979999999999, lat=40.637517}",$6.75 
CAFE BONJOUR DELI & PIZZA 18 WEST 38 STREET New York NY 10018,40.755322,-73.9932872,"{lng=-73.9932872, lat=40.755322}",$5.25 
FREDDY'S DELI 895 GRAND STREET New York NY 11211,40.712749,-73.938367,"{lng=-73.938367, lat=40.712749}",$4.25 
DOMINICKS DELI 1109 1 AVENUE New York NY 10065,40.7645239,-73.9624327,"{lng=-73.96243270000001, lat=40.7645239}",$4.75 
PUNJABI DELI & RESTAURANT 160-20 46 AVENUE New York NY 11358,40.760743,-73.7977928,"{lng=-73.7977928, lat=40.76074300000001}",$5.25 
SPARKY'S DELI 2828 COLLEGE POINT BOULEVARD New York NY 11354,40.7722223,-73.8448612,"{lng=-73.8448612, lat=40.7722223}",$4.50 
PLAZA DELI 127 JOHN STREET New York NY 10038,40.707361,-74.004762,"{lng=-74.004762, lat=40.707361}",$6.25 
TERRACE VIEW DELI 135 TERRACE VIEW AVENUE New York NY 10463,40.875991,-73.9132,"{lng=-73.9132, lat=40.875991}",$3.25 
DELIGHT 28 RESTAURANT 2830 PELL STREET New York NY 10013,40.7148064,-73.9980331,"{lng=-73.9980331, lat=40.7148064}",$3.75 
MAURICE AVENUE DELI 5904 55 DRIVE New York NY 11378,40.7224092,-73.9095279,"{lng=-73.9095279, lat=40.7224092}",$3.25 
