id,Name,Lat,Long,Lat/Long,Price,boro_name,shape_area,shape_leng,boro_code
98,HALLMARK DELI 455 NORTH END AVENUE New York NY 10282,40.717520999999998,-74.014503000000005,"{lng=-74.01450299999999, lat=40.717521}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
102,LIBERTY DELI 22 EAST 49 STREET New York NY 10017,40.751984600000000,-73.969779500000001,"{lng=-73.9697795, lat=40.7519846}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
106,FORT WASHINGTON BAKERY AND DELI 808 WEST 181 STREET New York NY 10033,40.850887299999997,-73.938703200000006,"{lng=-73.93870319999999, lat=40.8508873}",$3.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
113,ZOIE'S CAFE and DELICATESSEN 49 BEACH STREET New York NY 10013,40.720799000000000,-74.009125499999996,"{lng=-74.0091255, lat=40.720799}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
114,BROADWAY DELI & BAGEL'S 515 WEST 42 STREET New York NY 10036,40.760261900000003,-73.993287199999997,"{lng=-73.9932872, lat=40.7602619}",$3.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
115,DELIZIA RISTORANTE 1374 1 AVENUE New York NY 10021,40.770070300000000,-73.958024600000002,"{lng=-73.9580246, lat=40.7700703}",$4.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
117,SHARAN DELI 314 WEST 39 STREET New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
122,BEST OF THE BEST DELICATESSEN 11 PARK PLACE New York NY 10007,40.713051299999997,-74.008293300000005,"{lng=-74.00829329999999, lat=40.7130513}",$4.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
127,J.L.H. DELI 307 WEST 38 STREET New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
129,NEW UNIVERSITY DELI 603 WEST 168 STREET New York NY 10032,40.840982199999999,-73.944799399999994,"{lng=-73.9447994, lat=40.8409822}",$6.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
134,MANHATTAN GOURMET DELI 1377 6 AVENUE New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$4.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
135,CAFE PLAZA DELI 11 BROADWAY New York NY 10004,40.705526900000002,-74.014346000000003,"{lng=-74.014346, lat=40.7055269}",$3.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
138,KITO DELI 41 WEST 33 STREET New York NY 10001,40.753685400000002,-73.999163699999997,"{lng=-73.9991637, lat=40.75368539999999}",$4.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
139,ELLEN DELI & GROCERY 289 HUDSON STREET New York NY 10013,40.725707999999997,-74.007810000000006,"{lng=-74.00780999999999, lat=40.725708}",$4.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
146,SHAMAS DELI 150 WEST 38 STREET New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$5.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
160,LIBERTY DELI 30 ROCKEFELLER PLAZA New York NY 10112,40.758942599999997,-73.979356400000000,"{lng=-73.9793564, lat=40.7589426}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
162,HUNAN DELIGHT MATSUYA 1467 YORK AVENUE New York NY 10075,40.770704500000001,-73.951275699999997,"{lng=-73.9512757, lat=40.7707045}",$5.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
